source,duplication_notes
Barrow_CALM_U1,"This detailed plot/date summary overlaps conceptually with CALM U1. It is retained because it includes pre-CALM years and within-year plot summaries not represented by the annual CALM export."
Chapin_2025,"Primary dedicated source retained for Survey Line Fire observations. Ruess_2025 republishes the same 360 stake measurements from SL1A in 2015-2022 and SL1B in 2015-2024; all 18 shared site-years are removed from Ruess."
Ebel_2018,"Nine observations matching Minsley_2017 within 30 m, one campaign day, permafrost state, and depth within 1 cm are removed in favor of Minsley's direct thaw-probe release. Two nearby Ebel soil-sampling-site values differ materially from the nearest Minsley value and are retained as potentially independent observations."
Jafarov_2016,"Original source retained for the 2013 Barrow GPR and probe campaign. Moore_et_al_2025 republishes 57,294 native GPR picks and 1,297 probe rows with conflicting 2014 or 2018 dates; those copies are removed in the Moore processor before its 5 m aggregation."
Jones_Jones_2025,"Known overlap with CALM sites, especially U60/U60a-style site mappings. CUSP keeps CALM as source of truth where exact source-specific duplicates can be filtered, but Jones_Jones_2025 may retain non-exact overlap."
Jorgenson_Kanevskiy_2022_Gosling,"Dedicated source retained as primary for 15 matching site-years also compiled in Jorgenson_Kanevskiy_2025."
Jorgenson_Kanevskiy_2022_Jago,"Dedicated source retained as primary for 93 matching site-years also compiled in Jorgenson_Kanevskiy_2025."
Jorgenson_Kanevskiy_2025,"Compiled inventory source. Its 93 Jago and 15 Gosling site-year copies are removed in favor of the corresponding dedicated 2022 releases."
Minsley_2017,"Primary direct thaw-probe source for nine high-confidence campaign matches also present as contextual active-layer values in Ebel_2018; those copies are removed from Ebel."
Moore_et_al_2025,"The processor removes 57,294 native GPR picks and 1,297 probe rows copied from Jafarov_2016 and 1,962 valid Natali-team rows represented by Natali_2023, retaining the original sources. Separate CALM review found site-year overlap but no exact coordinate/date/depth matches, so the remaining Moore rows are retained as potentially independent."
Natali_2023,"Direct 2016-2018 transect source. Ninety-three Eight Mile Lake observations from 2017-09-20 are removed because the earlier ViPER_2018 release contains the same transects; Natali remains primary over copies in Moore_et_al_2025 and Talucci_2024."
NCSS_Lab_Data_Mart,"Primary source for matching USDA-NRCS pedons also present in the Pastick compilation; Pastick removes same-state observations within 1 m in favor of NCSS."
Patton_2021,"A 2026-08-04 footprint and coordinate/depth/date audit found no overlap with retained Jafarov_2016, Moore_et_al_2025, or Petrone_etal_2016 GPR observations; no cross-source filter is applied."
Pastick,"The processor removes matching USDA-NRCS pedons represented by NCSS_Lab_Data_Mart, preferring NCSS when permafrost state agrees within 1 m even if dates or depth/profile-bottom values differ."
Peirce_2020,"Walker_2022 is primary for the shared 2020 Airport T3-T5, Colleen T1-T2, and Joregenson JS transects because it provides native point coordinates. Peirce removes those 776 raw rows and retains 224 unique NIRPO observations."
PERMOS_2024,"CALM is primary for shared CALM site-years. The PERMOS processor removes exact ALT matches and bounded/nonexact CALM-identified rows when CALM already represents the same site-year, retaining PERMOS-only observations."
Petrone_etal_2016,"A 2026-08-04 footprint and coordinate/depth/date audit found no overlap with retained Jafarov_2016, Moore_et_al_2025, or Patton_2021 GPR observations; no cross-source filter is applied."
Ruess_2025,"The processor removes 18 Survey Line Fire site-years (360 native stake measurements) also published by Chapin_2025, retaining Chapin as the dedicated primary source. Sixteen annual summaries match exactly; SL1A 2021 and 2022 differ only because the processors summarize non-Ice rows differently."
Smith_Burgess_2000,"Primary CUSP source for 46 shared Canadian site records because the ground-temperature product has more relevant near-surface profile context: 35 exact observation matches and 11 additional coordinate/site-identifier matches are removed from Smith_Burgess_2002."
Smith_Burgess_2002,"Permafrost-thickness compilation retained for unique sites. Thirty-five exact observations and 11 additional coordinate/site-identifier matches are removed in favor of Smith_Burgess_2000; the 11 latter values differ between compilations and are treated as alternate site representations rather than independent observations."
Talucci_2024,"FireALT synthesis removes 3,936 Natali Bonanza Creek rows represented by ViPER_2018 and 1,552 additional Natali-attributed rows represented by Natali_2023. FireALT-only contributor/site-year groups are retained with possible residual synthesis overlap."
ViPER_2018,"Earlier direct source retained for the shared Natali Bonanza Creek and 2017 Eight Mile Lake transects; copies are removed from Talucci_2024 and Natali_2023, respectively."
Walker_2022,"Primary source for six 2020 Airport, Colleen, and Joregenson transects also published by Peirce_2020 because Walker provides native per-point coordinates."
Wang_2018,"Known uncertainty around overlap with CALM, but the publication indicates some records may be independent. CUSP currently retains Wang_2018 as an independent source with possible overlap flagged."
