source_directory,processing_script,processed_output,metadata_status,structured_metadata_present,validation_error_count,validation_errors,source_key,release_clearance,permission_basis,original_author,last_substantive_update,manual_steps_required,external_dependencies_required,source_dataset,processing_assumptions,temporal_handling,spatial_handling,manual_steps,known_limitations,external_dependencies,notes
Bakian_Dogaheh_2020,data\Bakian_Dogaheh_2020\process_bakian_dogaheh_2020.py,data\Bakian_Dogaheh_2020\processed_bakian_dogaheh_2020.csv,structured_toml,yes,0,,Bakian_Dogaheh_2020,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Bakian-Dogaheh, K.; Chen, R. H.; Moghaddam, M.; Yi, Y.; Tabatabaeenejad, A.
2020. ABoVE: Active Layer Soil Characterization of Permafrost Sites, Northern
Alaska, 2018 (Version 1). ORNL Distributed Active Archive Center.
https://doi.org/10.3334/ORNLDAAC/1759
","Source dates are normalized from mixed MM/DD/YY strings and Excel serial values. || Rows with numeric active-layer thickness are treated as permafrost-present, so pf_observed is fixed to 1 and pf_depth is set equal to thaw_depth. || Eight -9999 rows flagged water are excluded because they contain no active-layer measurement and do not establish permafrost state. || method is set to tp/pit and transect is retained as transect_direction. || The source publishes hundreds of 5 m transect measurements but only six distinguishable coordinate supports; rows are therefore averaged by site/date/coordinate rather than released as hundreds of colocated points.",Per-record dates are preserved after normalization from the source date field.,"Coordinates are read directly from the source CSV without reprojection. || Coordinate-level summaries receive coord_site_level and summary_statistic flags, and retain native counts and contributing transect names.",,"The assumption that all sites are permafrost-present should be revisited if the source dataset is used outside its intended study context. || Water locations without a reported active-layer value are not retained as observations. || Published coordinates do not resolve individual 5 m transect positions, so within-coordinate spatial variability is represented by summary statistics.",,
Barrow_CALM_U1,data\Barrow_CALM_U1\process_barrow_calm_u1.py,data\Barrow_CALM_U1\processed_barrow_calm_u1.csv,structured_toml,yes,0,,Barrow_CALM_U1,approved,public_repository_terms,jschwenk + Codex,2026-08-06,yes,yes,"Brown, J. and Nelson, F. 1998. Active layer and permafrost properties,
including snow depth, soil temperature, and soil moisture, Barrow,
Alaska, Version 1. NSIDC GGD222. National Snow and Ice Data Center.
https://doi.org/10.7265/w3wq-st79
","Only the plot-level thaw-depth summary files named YYplN.dat are ingested into CUSP. || Soil-temperature, soil-moisture, and snow-depth files are excluded because they are related environmental measurements rather than canonical CUSP thaw-depth/permafrost-depth observations. || Each YYplN.dat file is a summary table for one plot; each non-empty date column is emitted as one CUSP observation. || The source does not include individual probe measurements in these files, so CUSP uses the source-provided MEAN thaw depth as thaw_depth and pf_depth. || The source-provided N OF CASES, minimum, maximum, and median are preserved as provenance columns. || All retained thaw-depth summaries are treated as permafrost-present active-layer observations with method = tp. || All rows use the dataset-level coordinate published on the NSIDC landing page because plot-specific coordinates are not present in the ASCII files.","Date columns are parsed from YYMMDD tokens in the source files. || The 1962 files report 620800, which is interpreted as August 1962 with no known day; CUSP records this as 1962-08-01 and flags the date precision as month. || Only those month-precision rows receive the assigned-date and approximate-source-date flags.","The dataset-level NSIDC spatial coverage coordinate is used for every plot/date summary: 71.29058, -156.78872.",Downloaded all files from ftp://sidads.colorado.edu/pub/DATASETS/fgdc/ggd222_activlayer_barrow into raw/.,"The original individual probe points are not available in the downloaded ASCII files; CUSP represents source summary means rather than raw probe observations. || Plot-specific coordinates are not available in the source files. || This source overlaps conceptually with CALM U1, but it provides pre-1990s and early-1990s plot/date thaw-depth summaries that are more detailed than the annual CALM export.",NSIDC DOI: 10.7265/w3wq-st79,
Bonnaventure_Whati,data\Bonnaventure_Whati\process_bonnaventure_whati.py,data\Bonnaventure_Whati\processed_bonnaventure_whati.csv,structured_toml,yes,0,,Bonnaventure_Whati,approved,emailed_approval,jschwenk + Codex,2026-08-04,yes,no,"Ground-truth cryotic-assessment points collected around Whati, Northwest
Territories, in August 2019 and shared by Philip P. Bonnaventure for CUSP.
The observations are described by Daly, Bonnaventure, and Kochtitzky (2022),
doi:10.1002/ppp.2160, and reused by Bonnaventure et al. (2026),
doi:10.1002/ppp.70037. The 2026 paper does not distribute the point file and
instead directs readers to contact the authors for data access.
","The source PF field is carried directly into pf_observed after coordinate and column normalization. || Permafrost-absence rows are assigned obs_limit = 150 cm from the study's conservative cryotic-assessment protocol target; this is not a row-specific measured depth. || The field protocol used soil probes or hammer-drill pilot holes followed by bottom-hole temperature profiles, so method is mapped to temp for the final permafrost classification. || Presence rows have no released frost-table depth and are retained as upper-bounded presence observations. || The available CSV does not identify the 31 published sites whose state used thermal-gradient extrapolation, so model_or_estimate is conservatively attached to every row from this source.","All observations are assigned 2019-08-15, the midpoint of the reported August 2019 field campaign, and receive assigned/approximate-date flags.",X and Y are interpreted as WGS84 longitude and latitude; the original waypoint Name is retained as site_id. || The study reports GPS waypoint averaging with approximately 1-4 m positional accuracy.,The groundTruthLocs.csv file was supplied directly by Philip P. Bonnaventure under emailed permission; CUSP treats it as the field dataset used by the linked publications rather than as a file distributed with either paper.,"The directly shared file is believed to contain the ground-truth observations used in the linked publications, but row-for-row identity cannot be verified from public supplements because the papers do not distribute the point file. || The shared file contains 145 unique points (83 presence and 62 absence), six more absence points than the 139 sites reported in Daly et al. (2022) and Bonnaventure et al. (2026). The row-level reason for that difference is not available. || The shared file omits pilot-hole depth, temperature-gradient classification, and observation-tool fields, so those distinctions cannot be recovered per row. || The assigned 150 cm absence limit is conservative but may differ from actual hole depths, reported in the study as approximately 30-189 cm.",,The source key and directory use the corrected spelling Bonnaventure.
Cable_2017,data\Cable_2017\process_cable_2017.py,data\Cable_2017\processed_cable_2017.csv,structured_toml,yes,0,,Cable_2017,approved,public_repository_terms,jrowland,2026-04-10,no,no,"William Cable & Vladimir Romanovsky. 2017. Network of Permafrost
Observatories in Western Alaska. Arctic Data Center.
doi:10.18739/A23N20D37
","Three borehole records and the network sampling table are harmonized into a single processed output. || Within each site-year group, thaw_depth is set to the deepest profile depth for which all shallower temperature measurements are above 0 C. || A special 3 cm thaw rule is applied: the 25 cm sensor must be present and the qualifying observation must occur after July 1 for that year. || pf_observed is set to 0 if any observation within the annual group has all monitored temperatures above 0 C; otherwise it is set to 1. || Organic thickness for network records is approximated by extracting the largest centimeter value mentioned in soilDescription.","Source dates are parsed from borehole and network files, then observations are aggregated to annual records. || The output date for each annual record is the date associated with the deepest valid thaw observation in that year.","Borehole coordinates are supplied as fixed metadata in the script for Kugurak Cabin, Selawik Thaw Slump, and Selawik Village. || Network coordinates are read directly from the source CSV without reprojection.",,The annualized output discards within-season temperature-profile detail. || org_thick is only available where soilDescription contains a parseable centimeter value.,,
CALM,data\CALM\process_calm.py,data\CALM\processed_calm.csv,structured_toml,yes,0,,CALM,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Streletskiy, Dmitry A; CALM; GTN-P; Wieczorek, Mareike; Heim,
Birgit; Bartsch, Annett (2025): GTN-P CALM: 35 years of Active Layer
Thickness (ALT) across latitudinal and elevational gradients in the
Northern Hemisphere [dataset]. PANGAEA.
https://doi.org/10.1594/PANGAEA.972777
","The PANGAEA tab export is parsed directly; the event-level metadata block is used to recover site method details, URIs, location, and elevation. || Rows without a numeric active-layer-depth value are dropped rather than converted to permafrost absence. || Numeric ALD values are treated as direct active-layer-thickness observations with pf_observed = 1 and pf_depth equal to thaw_depth. || ALD values reported with a leading > are treated as lower-bound observations where permafrost was not confirmed within the reported limit; pf_observed is set to 0, obs_limit is set to the reported depth, and thaw_depth/pf_depth are left missing. || ALD values reported with a leading < are treated as upper-bound observations where permafrost was confirmed but the exact thaw depth is not recoverable; pf_observed is set to 1 and the exact thaw_depth/pf_depth are left missing. || ESA CCI validation comments are preserved as provenance and are not used to filter observations. || The CALM Event label is used as site_id because it is stable and unique across the file.","The source reports year-only annual end-of-thaw-season ALT values. || Year-only dates are encoded as September 1 of that year, following the project convention for Northern Hemisphere thaw-season observations without a reported month or day.","Latitude and longitude are read from the data table, which repeats the event coordinates for every annual observation.",,"This PANGAEA file is an annual site-level time-series export, not the individual CALM grid-node raw measurements. || A small number of event metadata records lack a recoverable method detail and are assigned method = unknown.",,The PANGAEA dataset is published under CC BY 4.0.
Chapin_2025,data\Chapin_2025\process_chapin_2025.py,data\Chapin_2025\processed_chapin_2025.csv,structured_toml,yes,0,,Chapin_2025,approved,public_repository_terms,jschwenk + Codex,2026-08-05,no,no,"Chapin, F.S.; Ruess, R.; Bonanza Creek LTER. 2025. Bonanza Creek LTER:
Annual Active Layer Depths from 2002 to Present in the Survey Line Fire near
Fairbanks, Alaska, ver. 26. Environmental Data Initiative.
https://doi.org/10.6073/pasta/b3318a9042025ce80e04ce13abf35898

Chapin, F.S.; Ruess, R.; Bonanza Creek LTER. 2025. Bonanza Creek LTER:
Annual Active Layer Depths from 2004 to Present in the Boundary Fire Fireline
near Fairbanks, Alaska, ver. 27. Environmental Data Initiative.
https://doi.org/10.6073/pasta/39a508640acba64933f5ad5613b744d0
",Boundary Fire and Survey Line Fire annual thaw-depth tables are concatenated into one source product. || thaw_depth is averaged by site and calendar year. || pf_observed is set to 0 only when all flags in a site-year group are N; otherwise it is set to 1. || pf_depth is set equal to the annual mean thaw_depth where pf_observed = 1. || Site coordinates are assigned from the bundled EML metadata through a hardcoded lookup table in the script.,The first measurement date within each site-year group is retained as the representative output date.,Coordinates are not read from the source tables; they are assigned from the script's site_coords lookup using the per-site bounding coordinates in the bundled EML metadata. || The SL1B longitude is -148.2861185 from knb-lter-bnz.240.26.xml; an earlier processor typo duplicated its latitude into the longitude field.,,Annual averaging removes within-year variation in thaw depth. || The hardcoded coordinate lookup should be checked whenever site lists or identifiers change. || Ruess_2025 republishes the same 360 stake measurements for SL1A in 2015-2022 and SL1B in 2015-2024. CUSP retains this dedicated Chapin source and removes all 18 shared site-years from Ruess_2025.,,"The 18 Chapin/Ruess overlap groups have identical dates, stake identifiers, and source depths. Sixteen annual summaries are numerically identical; SL1A 2021 and 2022 differ only because the processors interpret non-Ice rows differently, so the dedicated Chapin product remains authoritative."
Daanen_2017,data\Daanen_2017\process_daanen_2017.py,data\Daanen_2017\processed_daanen_2017.csv,structured_toml,yes,0,,Daanen_2017,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Ronald Daanen. (2017). Elevation and permafrost active layer observations near
two creeks in the foothills of the Brooks Range, Alaska, May 2017.
Arctic Data Center. doi:10.18739/A2H708100.
","Only rows with 'no rocks' in Rock_depth [cm] and non-'c.n.p' thaw-depth values are retained. || If the parsed Time field is missing or does not land in 2016, the script assigns a default date of 2016-08-24. || A reported depth of 125 cm is interpreted as reaching the source observation limit without detecting permafrost; it is retained as obs_limit and cleared from canonical thaw_depth. || Assigned dates and assumed absence limits are flagged only on rows where those interpretations apply.",Dates are parsed from the Time field when possible and otherwise default to 2016-08-24.,Lat and Lon are used directly from each creek CSV.,,The script applies a fallback date rather than preserving unknown timing when the Time field is unusable. || method is fixed to tp for all rows.,,
Douglas_Koyukuk_2022,data\Douglas_Koyukuk_2022\process_douglas_koyukuk_2022.py,data\Douglas_Koyukuk_2022\processed_douglas_koyukuk_2022.csv,structured_toml,yes,0,,Douglas_Koyukuk_2022,approved,public_repository_terms,Joel Rowland,2026-04-10,no,no,"Douglas Koyukuk 2022 field observations compiled in
PermafrostMeasurementsDatesFinal.csv for the CUSP release workflow.
",All 2018 rows are dropped from the source table. || Duplicate latitude/longitude locations are collapsed to unique sites and permafrost/thaw-depth values are blanked where repeated visits make the depth ambiguous. || The source Permafrost Y/N field is mapped directly to pf_observed 1/0 and method is forced to tp.,"Dates are reconstructed from the Year, Month, and Day columns.",Latitude and Longitude are used directly from the source CSV without reprojection.,,site_id is currently left blank in the processed output. || Depth_to_permafrost_cm is nulled at locations with repeated observations instead of attempting a multi-visit reconciliation.,,
Ebel_2018,data\Ebel_2018\process_ebel_2018.py,data\Ebel_2018\processed_ebel_2018.csv,structured_toml,yes,0,,Ebel_2018,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,yes,"Ebel, B.A. 2018. Physical and hydraulic properties at recently burned and
long-unburned boreal forest areas in interior Alaska, USA. U.S. Geological
Survey data release. https://doi.org/10.5066/F7610Z7J
","pf_observed, thaw_depth, and obs_limit are carried directly from the revised source CSV. || Coordinates are reconstructed from Easting/Northing using the per-row EPSG code and then exported in WGS84. || pf_depth is left missing because the source table does not provide a separate permafrost-depth field. || Rows matching Minsley_2017 within 30 m, one campaign day, permafrost state, and depth within 1 cm are removed in favor of the direct thaw-probe release.",Observation dates are preserved directly from the source CSV without additional aggregation.,Rows are split by EPSG:32605 and EPSG:32606 before reprojection to WGS84.,,Two nearby Ebel active-layer measurements differ materially from the nearest Minsley_2017 value and are retained as potentially independent soil-sampling-site observations. || The overlap filter is guarded at nine rows so source revisions cannot silently change the result. || method is exported as unknown because the revised source CSV does not include a reliable observation-tool field.,data/Minsley_2017/processed_minsley_2017.csv is required for source-specific overlap filtering.,
Fisher_2016,data\Fisher_2016\process_fisher_2016.py,data\Fisher_2016\processed_fisher_2016.csv,structured_toml,yes,0,,Fisher_2016,approved,public_repository_terms,jschwenk + Codex,2026-05-22,yes,yes,"Williams, M.; Estop-Aragones, C.; Fisher, J.P.; Murton, J.B.; Phoenix,
G.K.; Hartley, I.P. (2020): Extensive vegetation and soil surveys from
multiple sites in boreal forests of subarctic Canada, 2013-2014.
NERC Environmental Information Data Centre.
https://doi.org/10.5285/36f4e380-d01d-44a7-8321-7a677e6996b2
","Each plot row in Extensive_Vegetation_and_Soil_Data.csv is emitted as one CUSP observation. || The source ALD field is reported in centimeters and is retained in centimeters. || Numeric ALD rows are treated as permafrost-present late-August active-layer/thaw-depth observations, with pf_depth set equal to thaw_depth. || Rows reported as > 150 are treated as lower-bound/no-refusal observations: pf_observed is set to 0, obs_limit is set to 150 cm, and thaw_depth/pf_depth are left missing. || Rows missing plot GPS coordinates are dropped because they cannot be represented as CUSP point observations. || The source documentation states ALD was taken from the bottom of the moss layer; CUSP preserves the reported ALD value rather than adding moss thickness to reinterpret the datum. || Method is set to tp because the documentation describes a graduated stainless-steel rod inserted to refusal, with temperature confirmation of frozen soil.",The source gives campaign years by region/site group rather than plot-level dates. || Whitehorse/Yukon plots (Region = WH) are assigned 2013-08-31. || Yellowknife/Northwest Territories plots (Region = YK) are assigned 2014-08-31.,Plot-level GPS.N and GPS.W coordinates are read directly from the source CSV. || GPS.W is stored as positive west longitude in the source and is converted to negative decimal degrees for CUSP.,Download fisher_2016_data.zip from https://data-package.ceh.ac.uk/data/36f4e380-d01d-44a7-8321-7a677e6996b2.zip and extract the data package under raw/.,"The exact plot measurement day is not reported; late-August representative dates are used. || The source ALD datum is bottom of moss layer rather than moss/vegetation surface, so values may not be directly comparable to thaw depths measured from the ground or moss surface. || No coordinate/year/depth duplicates were found against the current CUSP release within 50 m, but this source is geographically near other Yukon/Northwest Territories datasets.",Dataset DOI: 10.5285/36f4e380-d01d-44a7-8321-7a677e6996b2 || Article DOI: 10.1111/gcb.13248,
